==================================================
CONDITIONAL PATH PREDICTABILITY STUDY FULL DETAILS
==================================================

  Bucket       | N      | Mean Ret (ATR) | % Pos   | Net 1x ($)  | Net 2x ($) 
  ------------ | ------ | -------------- | ------- | ----------- | -----------
   <0 ATR      | 10711  |      +0.013552 |  49.87% | $    -7.43 | $   -17.43
  0-0.25       | 1403   |      +0.025906 |  50.53% | $    -7.91 | $   -17.91
  0.25-0.5     | 1207   |      +0.041408 |  50.79% | $    +7.94 | $    -2.06
  0.5-1.0      | 2343   |      -0.009962 |  47.25% | $    -9.27 | $   -19.27
   >=1.0       | 6692   |      -0.004030 |  47.06% | $   -12.21 | $   -22.21

Cohort: LONG | K=10m | H=5m | N=22356 | Slope=-0.007164 | 95% CI=[-0.027023, +0.013567]
  Bucket       | N      | Mean Ret (ATR) | % Pos   | Net 1x ($)  | Net 2x ($) 
  ------------ | ------ | -------------- | ------- | ----------- | -----------
   <0 ATR      | 10711  |      +0.024227 |  50.84% | $    -6.36 | $   -16.36
  0-0.25       | 1403   |      +0.022271 |  50.82% | $   -13.93 | $   -23.93
  0.25-0.5     | 1207   |      +0.072258 |  51.86% | $    +6.59 | $    -3.41
  0.5-1.0      | 2343   |      -0.031058 |  48.48% | $   -14.95 | $   -24.95
   >=1.0       | 6692   |      +0.001696 |  48.19% | $   -11.44 | $   -21.44

Cohort: LONG | K=10m | H=15m | N=22356 | Slope=+0.003229 | 95% CI=[-0.028136, +0.033623]
  Bucket       | N      | Mean Ret (ATR) | % Pos   | Net 1x ($)  | Net 2x ($) 
  ------------ | ------ | -------------- | ------- | ----------- | -----------
   <0 ATR      | 10711  |      +0.049875 |  51.99% | $    -3.30 | $   -13.30
  0-0.25       | 1403   |      +0.029932 |  51.60% | $   -10.23 | $   -20.23
  0.25-0.5     | 1207   |      +0.002815 |  50.79% | $    -3.36 | $   -13.36
  0.5-1.0      | 2343   |      -0.056802 |  50.23% | $   -20.64 | $   -30.64
   >=1.0       | 6692   |      +0.028108 |  50.70% | $    -4.51 | $   -14.51

Cohort: LONG | K=10m | H=30m | N=22356 | Slope=-0.000455 | 95% CI=[-0.044641, +0.042459]
  Bucket       | N      | Mean Ret (ATR) | % Pos   | Net 1x ($)  | Net 2x ($) 
  ------------ | ------ | -------------- | ------- | ----------- | -----------
   <0 ATR      | 10711  |      +0.068443 |  52.45% | $    -3.08 | $   -13.08
