event,outcome,variable,n_pos,n_neg,med_pos,iqr_pos,med_neg,iqr_neg,mean_pos,mean_neg,cohen_d,auc,auc_lo,auc_hi,meaningful
fav_1p0,reach_plus3,s_from_prev_level,1440,2088,46.0,"[15.0, 128.25]",55.0,"[19.0, 147.25]",100.53263888888888,115.97030651340997,-0.10375624755263123,0.4684124228395062,0.45212621428753574,0.48575524807539794,False
fav_1p0,reach_plus3,mae_through_touch,1440,2088,0.4238224688484758,"[0.1632582662235561, 0.8380014486182649]",0.4262291152282802,"[0.17306072372194747, 0.8331736723641154]",0.57483929817809,0.5798862557150777,-0.009198287359074726,0.491443333599404,0.47299838570029884,0.5102207525675906,False
fav_1p0,reach_plus3,adv0p5_before,1440,2088,0.0,"[0.0, 1.0]",0.0,"[0.0, 1.0]",0.4444444444444444,0.44875478927203066,-0.00866716208880226,0.4978448275862069,0.4816341929397539,0.513605538261719,False
fav_1p0,reach_plus3,adv1_before,1440,2088,0.0,"[0.0, 0.0]",0.0,"[0.0, 0.0]",0.18888888888888888,0.18630268199233715,0.006626076350453029,0.5012931034482758,0.4885405263364363,0.5146108255243156,False
fav_1p0,reach_plus3,aligned_5m,1385,2021,0.0,"[0.0, 1.0]",0.0,"[0.0, 1.0]",0.44259927797833937,0.4364176150420584,0.01245316116000816,0.5030908314681405,0.4866455464726788,0.5194178423055672,False
fav_1p0,reach_plus3,aligned_15m,1386,2023,0.0,"[0.0, 1.0]",0.0,"[0.0, 1.0]",0.47619047619047616,0.4661393969352447,0.02013297147894855,0.5050255396276158,0.4874766123082699,0.5210612814172417,False
fav_1p0,reach_plus3,aligned_1h,1387,2023,0.0,"[0.0, 1.0]",0.0,"[0.0, 1.0]",0.4989185291997116,0.4967869500741473,0.004261964135600894,0.5010657895627821,0.4836474092922329,0.5182217545793874,False
fav_1p0,reach_plus3,trans_5m,1385,2021,0.0,"[0.0, 0.0]",0.0,"[0.0, 0.0]",0.023826714801444042,0.017318159327065808,0.04652833907279471,0.5032542777371891,0.49861943402798675,0.5079019714204978,False
fav_1p0,win,t_since_t0_s,1992,1536,156.0,"[71.0, 296.25]",148.0,"[69.0, 286.0]",220.27861445783134,208.76302083333334,0.0562650443834567,0.5130595624686245,0.4923457904204595,0.5322308881139816,False
fav_1p0,win,s_from_prev_level,1992,1536,55.0,"[18.0, 142.0]",49.0,"[17.0, 133.25]",112.97991967871486,105.37565104166667,0.05105813246765407,0.5135718655873494,0.49533450443646415,0.5337999330504716,False
fav_1p0,win,mae_through_touch,1992,1536,0.4224329370974376,"[0.16790074221805312, 0.813878532343951]",0.4278011873839255,"[0.16070256078376338, 0.8697528565550816]",0.56186991667989,0.5985196727104106,-0.06683168235809504,0.48730844602367807,0.4671011187521699,0.5075466931981195,False
fav_1p0,win,adv0p5_before,1992,1536,0.0,"[0.0, 1.0]",0.0,"[0.0, 1.0]",0.4397590361445783,0.4563802083333333,-0.03342583582475595,0.4916894139056225,0.47483127080712967,0.5068675836980755,False
fav_1p0,win,adv1_before,1992,1536,0.0,"[0.0, 0.0]",0.0,"[0.0, 0.0]",0.17520080321285142,0.203125,-0.07158880423472759,0.4860379016064257,0.47245151488027937,0.4983534679917146,False
fav_1p0,win,aligned_5m,1878,1528,0.0,"[0.0, 1.0]",0.0,"[0.0, 1.0]",0.43610223642172524,0.4424083769633508,-0.012703941254702837,0.4968469297291872,0.4795551795212554,0.5125554142263548,False
fav_1p0,win,aligned_15m,1878,1531,0.0,"[0.0, 1.0]",0.0,"[0.0, 1.0]",0.4739084132055378,0.46570868713259306,0.01642433437648052,0.5040998630364724,0.48658337030961424,0.5198701585112739,False
fav_1p0,win,aligned_1h,1879,1531,1.0,"[0.0, 1.0]",0.0,"[0.0, 1.0]",0.506652474720596,0.48661005878510777,0.04008148364811117,0.5100212079677442,0.49342433885759257,0.5264989669501378,False
fav_1p0,win,trans_5m,1878,1528,0.0,"[0.0, 0.0]",0.0,"[0.0, 0.0]",0.025026624068157616,0.0137434554973822,0.0807049787437859,0.5056415842853877,0.5015070470736375,0.5094242251622086,False
fav_1p0,win_given_plus2 (C2),t_since_t0_s,1847,373,150.0,"[68.0, 287.5]",124.0,"[62.0, 238.0]",212.86031402273957,180.0965147453083,0.16508539262446298,0.5470206740587954,0.509572579675725,0.5807082590153175,False
