regime_start_ns,event,t_since_t0_s,mae_through_touch,adv0p5_before,adv1_before,s_from_prev_level,aligned_5m,trans_5m,aligned_15m,trans_15m,aligned_1h,trans_1h
1672952700000000000,fav_2p0,1767.0,0.7777651720360155,1,0,760.0,,,,,,
1673015880000000000,fav_0p5,16.0,0.10396201079780772,0,0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
1673015880000000000,fav_1p0,25.0,0.10396201079780772,0,0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
1673015880000000000,fav_1p5,36.0,0.10396201079780772,0,0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
1673015880000000000,fav_2p0,78.0,0.10396201079780772,0,0,42.0,0.0,0.0,0.0,0.0,0.0,0.0
1673016780000000000,fav_0p5,95.0,0.35485081710657923,0,0,95.0,0.0,0.0,0.0,0.0,1.0,0.0
1673016780000000000,fav_1p0,119.0,0.35485081710657923,0,0,24.0,0.0,0.0,0.0,0.0,1.0,0.0
1673016780000000000,fav_1p5,175.0,0.35485081710657923,0,0,56.0,0.0,0.0,0.0,0.0,1.0,0.0
1673016780000000000,fav_2p0,411.0,0.4578720220730055,0,0,236.0,0.0,0.0,0.0,0.0,1.0,0.0
1673018640000000000,fav_0p5,114.0,0.5517073683682328,1,0,114.0,0.0,0.0,1.0,0.0,0.0,0.0
1673018640000000000,fav_1p0,183.0,0.5517073683682328,1,0,69.0,0.0,0.0,1.0,0.0,0.0,0.0
1673019240000000000,fav_0p5,106.0,0.25249981249980685,0,0,106.0,1.0,0.0,0.0,0.0,1.0,0.0
1673019240000000000,fav_1p0,112.0,0.25249981249980685,0,0,6.0,1.0,0.0,0.0,0.0,1.0,0.0
1673019240000000000,fav_1p5,184.0,0.25249981249980685,0,0,72.0,1.0,0.0,0.0,0.0,1.0,0.0
1673019240000000000,fav_2p0,356.0,0.25249981249980685,0,0,172.0,1.0,0.0,0.0,0.0,1.0,0.0
1673020140000000000,fav_0p5,7.0,0.03354552000825434,0,0,7.0,1.0,0.0,0.0,0.0,1.0,0.0
1673020140000000000,fav_1p0,22.0,0.03354552000825434,0,0,15.0,1.0,0.0,0.0,0.0,1.0,0.0
1673020140000000000,fav_1p5,296.0,0.03354552000825434,0,0,274.0,1.0,0.0,0.0,0.0,1.0,0.0
1673020140000000000,fav_2p0,548.0,0.03354552000825434,0,0,252.0,1.0,0.0,0.0,0.0,1.0,0.0
1673021640000000000,fav_0p5,179.0,0.7686472643511938,1,0,179.0,0.0,0.0,0.0,0.0,0.0,0.0
1673022120000000000,fav_0p5,118.0,0.3365226322352569,0,0,118.0,1.0,0.0,1.0,0.0,1.0,0.0
1673022420000000000,fav_0p5,12.0,0.020925715465512962,0,0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
1673022420000000000,fav_1p0,256.0,0.6486971794309019,1,0,244.0,0.0,0.0,0.0,0.0,0.0,0.0
1673022840000000000,fav_0p5,78.0,0.2051128384026573,0,0,78.0,1.0,0.0,1.0,0.0,1.0,0.0
1673023440000000000,fav_0p5,168.0,0.4911135730670464,0,0,168.0,0.0,0.0,0.0,0.0,0.0,0.0
1673023860000000000,fav_0p5,9.0,0.04653955034421135,0,0,9.0,1.0,0.0,1.0,0.0,1.0,0.0
1673023860000000000,fav_1p0,24.0,0.04653955034421135,0,0,15.0,1.0,0.0,1.0,0.0,1.0,0.0
1673023860000000000,fav_1p5,42.0,0.04653955034421135,0,0,18.0,1.0,0.0,1.0,0.0,1.0,0.0
1673023860000000000,fav_2p0,138.0,0.04653955034421135,0,0,96.0,1.0,0.0,1.0,0.0,1.0,0.0
1673024820000000000,fav_0p5,232.0,0.9683596418209914,1,0,232.0,1.0,0.0,1.0,0.0,1.0,0.0
1673025180000000000,fav_0p5,81.0,0.4437041384837496,0,0,81.0,0.0,0.0,0.0,0.0,0.0,0.0
