anchor,block,lag,outcome,rho_raw,rho_null,rho_residual
2.0,discovery,catchup1,add_mfe,0.06465539999595031,0.11793976150138381,0.02965515889563488
2.0,replication,trig_pos,final_pnl,0.002734472733834675,0.06717471851061238,-0.012985143096006353
2.0,replication,trig_pos,giveback,-0.3827739977178952,-0.5341729065761737,-0.21788180790914632
2.0,replication,trig_pos,add_mfe,-0.15751358282383393,-0.2717236305113466,-0.09553268126302022
2.0,replication,price_to_trig,final_pnl,0.019458245813738877,0.008920630046705553,0.021846020406978427
2.0,replication,price_to_trig,giveback,0.3919212900545607,0.5445984135114168,0.22493992933252946
2.0,replication,price_to_trig,add_mfe,0.1785510942796825,0.30848354302390496,0.10701464310641974
2.0,replication,mfe_to_trig,final_pnl,0.010078682165651274,-0.02316787919994736,0.017946500106069397
2.0,replication,mfe_to_trig,giveback,0.3992123771101682,0.5507865999790257,0.23129185525240734
2.0,replication,mfe_to_trig,add_mfe,0.16640690805293082,0.2709605943425107,0.10575869294484594
2.0,replication,catchup1,final_pnl,0.03148318752852251,-0.014109423441392648,0.03527523580858703
2.0,replication,catchup1,giveback,0.0835071575188644,0.15163677709004175,0.028759054373330737
2.0,replication,catchup1,add_mfe,0.09013686936375546,0.07254361793046528,0.05999760767887161
2.0,pooled,trig_pos,final_pnl,0.06284260835272314,0.0008684065665247585,0.05994934060133326
2.0,pooled,trig_pos,giveback,-0.3998716693058202,-0.5312783813248974,-0.24259623086962345
2.0,pooled,trig_pos,add_mfe,-0.11612715745804898,-0.2966643567046659,-0.04220539949152831
2.0,pooled,price_to_trig,final_pnl,-0.05290126378781594,0.07313315930572771,-0.06361891340153043
2.0,pooled,price_to_trig,giveback,0.40175845713351904,0.5308572588753028,0.2439615775010494
2.0,pooled,price_to_trig,add_mfe,0.12173710378247737,0.32367127303986104,0.038060538304410606
2.0,pooled,mfe_to_trig,final_pnl,-0.060444833155735296,0.04397589605917909,-0.06681999131530916
2.0,pooled,mfe_to_trig,giveback,0.4116980930866738,0.5418151214426232,0.25171862757711627
2.0,pooled,mfe_to_trig,add_mfe,0.11182397760897626,0.2883950554130667,0.04080277415674975
2.0,pooled,catchup1,final_pnl,0.033323446523976154,-0.004032090614284954,0.03462836401731974
2.0,pooled,catchup1,giveback,0.07371041271705564,0.15657281236602227,0.02162122019747183
2.0,pooled,catchup1,add_mfe,0.07142654621853942,0.10653901239777097,0.038106935697329654
3.0,discovery,trig_pos,final_pnl,0.07285193203037711,-0.011150521145326052,0.07824424138938939
