anchor,block,excl_last_hour,outcome,kind,slow_minus_fast,lo,hi
1.5,replication,True,final_pnl,real,-0.017179880574838845,-0.5452976401665283,0.4586130476971189
1.5,replication,True,final_pnl,null,0.03599831319669375,-0.020040208631203812,0.09150279480871207
1.5,replication,True,final_pnl,res,-0.053178193771532885,-0.5735196115693367,0.41787573787015425
1.5,replication,True,giveback,real,-0.6076038648128701,-0.8127289018029108,-0.4378984641221234
1.5,replication,True,giveback,null,-0.20877796485356723,-0.26846400877561905,-0.15069699027553365
1.5,replication,True,giveback,res,-0.3988258999593028,-0.5986128433388402,-0.2268366299034
1.5,replication,True,add_mfe,real,-0.6145609789404115,-1.0992820380560056,-0.18253043087676618
1.5,replication,True,add_mfe,null,-0.16255688520957526,-0.24425791279471853,-0.08000886244546074
1.5,replication,True,add_mfe,res,-0.4520040937308358,-0.9476179949100516,-0.020613820645131578
1.5,pooled,False,final_pnl,real,0.11872980574801298,-0.10140822070513522,0.3512921910969212
1.5,pooled,False,final_pnl,null,-0.022901632831331037,-0.05253410280212806,0.008498127276555884
1.5,pooled,False,final_pnl,res,0.14163143857934413,-0.08488347136136473,0.37696676367287535
1.5,pooled,False,giveback,real,-0.5288804594107341,-0.6300859867845781,-0.4279434644814228
1.5,pooled,False,giveback,null,-0.1984428745816336,-0.2273940382295385,-0.16992966678107357
1.5,pooled,False,giveback,res,-0.3304375848291,-0.43264188853466057,-0.2227275533354686
1.5,pooled,False,add_mfe,real,-0.38514648491886855,-0.5989381560434716,-0.14850735199531742
1.5,pooled,False,add_mfe,null,-0.19634033866911285,-0.23506736783532214,-0.15437832243386237
1.5,pooled,False,add_mfe,res,-0.18880614624975595,-0.40350691997357513,0.04252986016945779
1.5,pooled,True,final_pnl,real,0.12384036937482318,-0.10258337656497575,0.36322658449555284
1.5,pooled,True,final_pnl,null,-0.015513593841656901,-0.04624928582789671,0.01648554348690241
1.5,pooled,True,final_pnl,res,0.13935396321648005,-0.09300926547118699,0.37943976143638086
1.5,pooled,True,giveback,real,-0.5021044125544692,-0.6083293988915506,-0.39373931441792226
1.5,pooled,True,giveback,null,-0.1950514631001275,-0.2218349266876825,-0.1687415054751539
1.5,pooled,True,giveback,res,-0.30705294945434164,-0.4105785456844171,-0.1948936113044715
1.5,pooled,True,add_mfe,real,-0.3531999615625532,-0.5811776083765732,-0.11347957364192383
1.5,pooled,True,add_mfe,null,-0.18550097532469145,-0.2241936586778758,-0.1459331543456037
1.5,pooled,True,add_mfe,res,-0.1676989862378617,-0.3887796802502734,0.06428883829402121
2.0,discovery,False,final_pnl,real,0.19593780370163086,-0.18270679523115335,0.5392055595112565
2.0,discovery,False,final_pnl,null,-0.04548156088354012,-0.08220442254001904,-0.008920234204423373
2.0,discovery,False,final_pnl,res,0.24141936458517105,-0.14206730111847268,0.5910231105499483
2.0,discovery,False,giveback,real,-0.6801075374794983,-0.8239979788878367,-0.5368373040388525
2.0,discovery,False,giveback,null,-0.25681047385279393,-0.29610461074043315,-0.2236883029268819
2.0,discovery,False,giveback,res,-0.42329706362670433,-0.5604843895441005,-0.283174238823124
2.0,discovery,False,add_mfe,real,-0.4480337045701739,-0.8150757048671411,-0.09979132297121104
2.0,discovery,False,add_mfe,null,-0.2661560055286409,-0.31299465566920454,-0.2226986552419316
2.0,discovery,False,add_mfe,res,-0.18187769904153336,-0.5416878376426147,0.16528417017449853
2.0,discovery,True,final_pnl,real,0.19776750438709795,-0.1911531357523169,0.5396076356099079
2.0,discovery,True,final_pnl,null,-0.043325067669183814,-0.08396682007995511,-0.006362186523858079
2.0,discovery,True,final_pnl,res,0.241092572056282,-0.15000508205294769,0.6019651997570901
2.0,discovery,True,giveback,real,-0.6332298589892247,-0.7701579920893691,-0.5029107674885948
2.0,discovery,True,giveback,null,-0.24360659403943297,-0.2762283033253169,-0.21515811719294528
2.0,discovery,True,giveback,res,-0.38962326494979155,-0.5298088443148748,-0.2580374452373474
